AUC
0.7579
0.82198
0.83158
0.83736
0.86808
0.85064
0.79792
0.84806
0.83216
0.83008
0.84414
0.8512
0.77118
0.80962
0.79945
0.76256
0.83914
0.8249
0.78458
0.83214
0.83602
0.7571
0.7944
0.87468
0.85522
0.83006
0.8753
0.83494
0.82548
0.83178
0.7583
0.87982
0.80064
0.81148
0.81718
0.81192
0.82584
0.86836
0.81838
0.78774
0.85262
0.8043
0.8437
0.85828
0.86134
0.79628
0.86634
0.78744
0.8654
0.8569
0.80662
0.8145
0.85642
0.77754
0.83166
0.83004
0.8502
0.83808
0.79694
0.77248
0.79018
0.79962
0.77938
0.82048
0.88056
0.84334
0.8552
0.80576
0.7973
0.83124
0.8271
0.83934
0.81542
0.84016
0.8427
0.78638
0.7878
0.8502
0.83296
0.85388
0.8143
0.78952
0.82638
0.86666
0.85222
0.83206
0.8048
0.85336
0.77216
0.80776
0.81694
0.82048
0.79592
0.788
0.82794
0.83918
0.82456
0.81908
0.85134
0.75894
